"","Category","statement","Measure"
"1","Revenue",6883.4,"relative"
"2","Cost of sales",-2124.9,"relative"
"3","Gross margin",4758.5,"total"
"4","Sales and administrative expenses",-1815.7,"relative"
"5","Other income and expenses",-604,"relative"
"6","Recurring operating income",2338.9,"total"
"7","Other non-recurring income and expenses",NA,"relative"
"8","Operating income",2338.9,"total"
"9","Net financial income",-68.6,"relative"
"10","Net income before tax",2270.3,"total"
"11","Income tax",-751,"relative"
"12","Net income from associates",15.9,"relative"
"13","CONSOLIDATED NET INCOME",1535.3,"relative"
"14","Non-controlling interests",-7,"relative"
"15","NET INCOME ATTRIBUTABLE TO OWNERS OF THE PARENT",1528.2,"total"
